# rag-service RAG-MEM-DURABILITY-BAR v2 window — cleaned sample series
# container_id=66656926d503a722aaf223408806a7f0b5fd9fb97e928b5197dd9759365ccaa8
# image=sha256:26e681b0ca3a83c87f7eda787c963d0b7ee18094d805cfbc1862a5db18b3fe8c
# started_at=2026-08-14T20:15:29.147681344Z  restart_count=0  mem_limit_bytes=1073741824
# source=/tmp/rag-durability-measurement/memory-samples.csv (ephemeral; 2391 raw lines, 799 well-formed)
# cleaning=kept only lines matching ^ISO8601,<float>,running$ — raw file corrupted by 3 concurrent samplers writing 2 schemas
# persisted_by=po 2026-08-15T09:5xZ  timestamps strictly monotonic, 0 backward steps
timestamp,used_percent,container_status
2026-08-15T01:10:25Z,75.82,running
2026-08-15T01:11:27Z,75.83,running
2026-08-15T01:12:28Z,77.97,running
2026-08-15T01:13:29Z,78.17,running
2026-08-15T01:14:31Z,84.25,running
2026-08-15T01:15:33Z,93.32,running
2026-08-15T01:16:34Z,93.73,running
2026-08-15T01:17:36Z,93.73,running
2026-08-15T01:18:37Z,93.73,running
2026-08-15T01:19:38Z,93.73,running
2026-08-15T01:20:39Z,93.73,running
2026-08-15T01:21:40Z,94.14,running
2026-08-15T01:22:41Z,94.14,running
2026-08-15T01:23:43Z,94.14,running
2026-08-15T01:24:44Z,94.14,running
2026-08-15T01:25:46Z,94.14,running
2026-08-15T01:26:47Z,94.14,running
2026-08-15T01:27:48Z,94.14,running
2026-08-15T01:28:49Z,94.14,running
2026-08-15T01:29:50Z,94.14,running
2026-08-15T01:30:51Z,94.09,running
2026-08-15T01:31:53Z,94.09,running
2026-08-15T01:32:55Z,94.09,running
2026-08-15T01:33:56Z,94.09,running
2026-08-15T01:34:57Z,94.09,running
2026-08-15T01:35:58Z,94.09,running
2026-08-15T01:36:59Z,94.09,running
2026-08-15T01:38:00Z,94.09,running
2026-08-15T01:39:02Z,94.09,running
2026-08-15T01:40:04Z,94.09,running
2026-08-15T01:41:05Z,94.09,running
2026-08-15T01:42:06Z,94.09,running
2026-08-15T01:43:07Z,94.09,running
2026-08-15T01:44:08Z,94.48,running
2026-08-15T01:45:10Z,94.48,running
2026-08-15T01:46:12Z,44.34,running
2026-08-15T01:47:14Z,45.89,running
2026-08-15T01:48:15Z,46.28,running
2026-08-15T01:49:16Z,46.68,running
2026-08-15T01:50:17Z,46.68,running
2026-08-15T01:51:18Z,46.68,running
2026-08-15T01:52:19Z,46.68,running
2026-08-15T01:53:20Z,46.68,running
2026-08-15T01:54:22Z,46.68,running
2026-08-15T01:55:24Z,46.68,running
