ts,container_id,memory_current_bytes,memory_stat_anon,memory_stat_file,memory_stat_inactive_file,memory_stat_pgscan,memory_stat_pgsteal,memory_stat_workingset_refault_anon,memory_events_max,memory_events_oom,memory_events_oom_kill,vmrss_kib,vmhwm_kib
2026-08-26T11:23:32Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886597120,1692971008,55148544,41947136,398846,208006,60015,1645,0,0,1988748,2842976
2026-08-26T11:28:33Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886310400,1692971008,55148544,41947136,398846,208006,60015,1645,0,0,1988748,2842976
2026-08-26T11:33:34Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886846976,1692971008,55148544,41947136,398846,208006,60015,1645,0,0,1988748,2842976
2026-08-26T11:38:36Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1887088640,1692971008,55148544,41947136,398846,208006,60015,1645,0,0,1988748,2842976
2026-08-26T11:43:38Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886728192,1693212672,55148544,41947136,398846,208006,60055,1645,0,0,1988996,2842976
2026-08-26T11:48:39Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886486528,1693233152,55148544,41947136,398846,208006,60056,1645,0,0,1989004,2842976
2026-08-26T11:53:40Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1887047680,1693278208,55148544,41947136,398846,208006,60065,1645,0,0,1989044,2842976
2026-08-26T11:58:42Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886777344,1693270016,55148544,41947136,398846,208006,60065,1645,0,0,1989044,2842976
2026-08-26T12:03:43Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886515200,1693274112,55148544,41947136,398846,208006,60065,1645,0,0,1989044,2842976
2026-08-26T12:08:44Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1887121408,1693270016,55148544,41947136,398846,208006,60065,1645,0,0,1989044,2842976
2026-08-26T12:13:46Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1887305728,1693274112,55148544,41947136,398846,208006,60065,1645,0,0,1989044,2842976
2026-08-26T12:18:47Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886793728,1693274112,55148544,41947136,398846,208006,60065,1645,0,0,1989044,2842976
